song_name,artist,song_lyrics,song_composition,song_lang
 Soneto de Fidelidade  ,  Vinicius de Moraes ,"  De tudo, ao meu amor serei atento antes E com tal zelo, e sempre, e tanto Que mesmo em face do maior encanto Dele se encante mais meu pensamento Quero vivê-lo em cada vão momento E em seu louvor hei de espalhar meu canto E rir meu riso e derramar meu pranto Ao seu pesar ou seu contentamento E assim quando mais tarde me procure Quem sabe a morte, angústia de quem vive Quem sabe a solidão, fim de quem ama Eu possa lhe dizer do amor (que tive): Que não seja imortal, posto que é chama Mas que seja infinito enquanto dure  ", Vinícius de Moraes. ,pt
 A Casa  ,  Vinicius de Moraes ,"  Era uma casa Muito engraçada Não tinha teto Não tinha nada Ninguém podia Entrar nela, não Porque na casa Não tinha chão Ninguém podia Dormir na rede Porque na casa Não tinha parede Ninguém podia Fazer pipi Porque penico Não tinha ali Mas era feita Com muito esmero Na Rua dos Bobos Número zero  ", Sergio Bardotti / Vinícius de Moraes. ,pt
 Onde Anda Você  ,  Vinicius de Moraes ,"  E por falar em saudade Onde anda você Onde andam os seus olhos Que a gente não vê Onde anda esse corpo Que me deixou morto De tanto prazer E por falar em beleza Onde anda a canção Que se ouvia na noite Dos bares de então Onde a gente ficava Onde a gente se amava Em total solidão Hoje eu saio na noite vazia Numa boemia sem razão de ser Na rotina dos bares Que apesar dos pesares Me trazem você E por falar em paixão Em razão de viver Você bem que podia me aparecer Nesses mesmos lugares Na noite, nos bares Onde anda você  ", Hermano Silva / Vinícius de Moraes. ,pt
 Poema Enjoadinho  ,  Vinicius de Moraes ,"  Filhos... Filhos? Melhor não tê-los! Mas se não os temos Como sabê-los? Se não os temos Que de consulta Quanto silêncio Como os queremos! Banho de mar Diz que é um porrete... Cônjuge voa Transpõe o espaço Engole água Fica salgada Se iodifica Depois, que boa Que morenaço Que a esposa fica! Resultado: filho. E então começa A aporrinhação: Cocô está branco Cocô está preto Bebe amoníaco Comeu botão. Filhos? Filhos Melhor não tê-los Noites de insônia Cãs prematuras Prantos convulsos Meu Deus, salvai-o! Filhos são o demo Melhor não tê-los... Mas se não os temos Como sabê-los? Como saber Que macieza Nos seus cabelos Que cheiro morno Na sua carne Que gosto doce Na sua boca! Chupam gilete Bebem xampu Ateiam fogo No quarteirão Porém, que coisa Que coisa louca Que coisa linda Que os filhos são!  ", Vinícius de Moraes. ,pt
 Samba da Bênção  ,  Vinicius de Moraes ,"  É melhor ser alegre que ser triste Alegria é a melhor coisa que existe É assim como a luz no coração Mas pra fazer um samba com beleza É preciso um bocado de tristeza É preciso um bocado de tristeza Senão, não se faz um samba não Senão é como amar uma mulher só linda E daí? Uma mulher tem que ter Qualquer coisa além de beleza Qualquer coisa de triste Qualquer coisa que chora Qualquer coisa que sente saudade Um molejo de amor machucado Uma beleza que vem da tristeza De se saber mulher Feita apenas para amar Para sofrer pelo seu amor E pra ser só perdão Fazer samba não é contar piada E quem faz samba assim não é de nada O bom samba é uma forma de oração Porque o samba é a tristeza que balança E a tristeza tem sempre uma esperança A tristeza tem sempre uma esperança De um dia não ser mais triste não Feito essa gente que anda por aí Brincando com a vida Cuidado, companheiro! A vida é pra valer E não se engane não, tem uma só Duas mesmo que é bom Ninguém vai me dizer que tem Sem provar muito bem provado Com certidão passada em cartório do céu E assinado embaixo: Deus E com firma reconhecida! A vida não é de brincadeira, amigo A vida é arte do encontro Embora haja tanto desencontro pela vida Há sempre uma mulher à sua espera Com os olhos cheios de carinho E as mãos cheias de perdão Ponha um pouco de amor na sua vida Como no seu samba Ponha um pouco de amor numa cadência E vai ver que ninguém no mundo vence A beleza que tem um samba, não Porque o samba nasceu lá na Bahia E se hoje ele é branco na poesia Se hoje ele é branco na poesia Ele é negro demais no coração Eu, por exemplo, o capitão do mato Vinicius de Moraes Poeta e diplomata O branco mais preto do Brasil Na linha direta de Xangô, saravá! A bênção, Senhora A maior ialorixá da Bahia Terra de Caymmi e João Gilberto A bênção, Pixinguinha Tu que choraste na flauta Todas as minhas mágoas de amor A bênção, Sinhô, a benção, Cartola A bênção, Ismael Silva Sua bênção, Heitor dos Prazeres A bênção, Nelson Cavaquinho A bênção, Geraldo Pereira A bênção, meu bom Cyro Monteiro Você, sobrinho de Nonô A bênção, Noel, sua bênção, Ary A bênção, todos os grandes Sambistas do Brasil Branco, preto, mulato Lindo como a pele macia de Oxum A bênção, maestro Antonio Carlos Jobim Parceiro e amigo querido Que já viajaste tantas canções comigo E ainda há tantas por viajar A bênção, Carlinhos Lyra Parceiro cem por cento Você que une a ação ao sentimento E ao pensamento A bênção, a bênção, Baden Powell Amigo novo, parceiro novo Que fizeste este samba comigo A bênção, amigo A bênção, maestro Moacir Santos Não és um só, és tantos como O meu Brasil de todos os santos Inclusive meu São Sebastião Saravá! A bênção, que eu vou partir Eu vou ter que dizer adeus Ponha um pouco de amor numa cadência E vai ver que ninguém no mundo vence A beleza que tem um samba, não Porque o samba nasceu lá na Bahia E se hoje ele é branco na poesia Se hoje ele é branco na poesia Ele é negro demais no coração  ", Baden Powell / Vinícius de Moraes. ,pt
 Soneto do Amor Total  ,  Vinicius de Moraes ,"  Amo-te tanto, meu amor... não cante O humano coração com mais verdade... Amo-te como amigo e como amante Numa sempre diversa realidade Amo-te afim, de um calmo amor prestante E te amo além, presente na saudade Amo-te, enfim, com grande liberdade Dentro da eternidade e a cada instante Amo-te como um bicho, simplesmente De um amor sem mistério e sem virtude Com um desejo maciço e permanente E de te amar assim, muito e amiúde É que um dia em teu corpo de repente Hei de morrer de amar mais do que pude  ", Vinícius de Moraes. ,pt
 Eu Sei Que Vou Te Amar  ,  Vinicius de Moraes ,"  Eu sei que vou te amar Por toda a minha vida, eu vou te amar Em cada despedida, eu vou te amar Desesperadamente Eu sei que vou te amar E cada verso meu será Pra te dizer Que eu sei que vou te amar Por toda a minha vida Eu sei que vou chorar A cada ausência tua, eu vou chorar Mas cada volta tua há de apagar O que esta tua ausência me causou Eu sei que vou sofrer A eterna desventura de viver À espera de viver ao lado teu Por toda a minha vida  ", Antonio Carlos Jobim / Vinícius de Moraes. ,pt
 O Relógio  ,  Vinicius de Moraes ,"  Passa, tempo, tic-tac Tic-tac, passa, hora Chega logo, tic-tac Tic-tac, e vai-te embora Passa, tempo Bem depressa Não atrasa Não demora Que já estou Muito cansado Já perdi Toda a alegria De fazer Meu tic-tac Dia e noite Noite e dia Tic-tac Tic-tac Dia e noite Noite e dia  ", Paulo Soledade / Vinícius de Moraes. ,pt
 O Pato  ,  Vinicius de Moraes ,"  Quén! Quen! Quén! Quen! Quén! Quen! Quén! Quen! Quén! Quen! Quén! Quen! Quén! Quen! Quén! Quen! Lá vem o Pato Pata aqui, pata acolá Lá vem o Pato Para ver o que é que há Lá vem o Pato Pata aqui, pata acolá Lá vem o Pato Para ver o que é que há O Pato pateta Pintou o caneco Surrou a galinha Bateu no marreco Pulou do poleiro No pé do cavalo Levou um coice Criou um galo Comeu um pedaço De jenipapo Ficou engasgado Com dor no papo Caiu no poço Quebrou a tigela Tantas fez o moço Que foi pra panela Quá! Quá! Quá! Quá Quá! Quá! Quá! Quá! Quá Quá! Quá! Quá! Quá! Quá Quá! Lá vem o Pato Pata aqui, pata acolá Lá vem o Pato Para ver o que é que há Lá vem o Pato Pata aqui, pata acolá Lá vem o Pato Para ver o que é que há O Pato pateta Pintou o caneco Surrou a galinha Bateu no marreco Pulou do poleiro No pé do cavalo Levou um coice Criou um galo Comeu um pedaço De jenipapo Ficou engasgado Com dor no papo Caiu no poço Quebrou a tigela Tantas fez o moço Que foi pra panela Caiu no poço Quebrou a tigela Tantas fez o moço Que foi pra panela  ", Paulo Soledade / Toquinho / Vinícius de Moraes. ,pt
 O Operário Em Construção  ,  Vinicius de Moraes ,"  E o Diabo, levando-o a um alto monte, mostrou-lhe num momento de tempo todos os reinos do mundo. E disse-lhe o Diabo: - Dar-te-ei todo este poder e a sua glória, porque a mim me foi entregue e dou-o a quem quero; portanto, se tu me adorares, tudo será teu. E Jesus, respondendo, disse-lhe: - Vai-te, Satanás; porque está escrito: adorarás o Senhor teu Deus e só a Ele servirás. Lucas, cap. IV, vs. 5-8. Era ele que erguia casas Onde antes só havia chão. Como um pássaro sem asas Ele subia com as casas Que lhe brotavam da mão. Mas tudo desconhecia De sua grande missão: Não sabia, por exemplo Que a casa de um homem é um templo Um templo sem religião Como tampouco sabia Que a casa que ele fazia Sendo a sua liberdade Era a sua escravidão. De fato, como podia Um operário em construção Compreender por que um tijolo Valia mais do que um pão? Tijolos ele empilhava Com pá, cimento e esquadria Quanto ao pão, ele o comia... Mas fosse comer tijolo! E assim o operário ia Com suor e com cimento Erguendo uma casa aqui Adiante um apartamento Além uma igreja, à frente Um quartel e uma prisão: Prisão de que sofreria Não fosse, eventualmente Um operário em construção. Mas ele desconhecia Esse fato extraordinário: Que o operário faz a coisa E a coisa faz o operário. De forma que, certo dia À mesa, ao cortar o pão O operário foi tomado De uma súbita emoção Ao constatar assombrado Que tudo naquela mesa - Garrafa, prato, facão - Era ele quem os fazia Ele, um humilde operário, Um operário em construção. Olhou em torno: gamela Banco, enxerga, caldeirão Vidro, parede, janela Casa, cidade, nação! Tudo, tudo o que existia Era ele quem o fazia Ele, um humilde operário Um operário que sabia Exercer a profissão. Ah, homens de pensamento Não sabereis nunca o quanto Aquele humilde operário Soube naquele momento! Naquela casa vazia Que ele mesmo levantara Um mundo novo nascia De que sequer suspeitava. O operário emocionado Olhou sua própria mão Sua rude mão de operário De operário em construção E olhando bem para ela Teve um segundo a impressão De que não havia no mundo Coisa que fosse mais bela. Foi dentro da compreensão Desse instante solitário Que, tal sua construção Cresceu também o operário. Cresceu em alto e profundo Em largo e no coração E como tudo que cresce Ele não cresceu em vão Pois além do que sabia - Exercer a profissão - O operário adquiriu Uma nova dimensão: A dimensão da poesia. E um fato novo se viu Que a todos admirava: O que o operário dizia Outro operário escutava. E foi assim que o operário Do edifício em construção Que sempre dizia sim Começou a dizer não. E aprendeu a notar coisas A que não dava atenção: Notou que sua marmita Era o prato do patrão Que sua cerveja preta Era o uísque do patrão Que seu macacão de zuarte Era o terno do patrão Que o casebre onde morava Era a mansão do patrão Que seus dois pés andarilhos Eram as rodas do patrão Que a dureza do seu dia Era a noite do patrão Que sua imensa fadiga Era amiga do patrão. E o operário disse: Não! E o operário fez-se forte Na sua resolução. Como era de se esperar As bocas da delação Começaram a dizer coisas Aos ouvidos do patrão. Mas o patrão não queria Nenhuma preocupação - ""Convençam-no"" do contrário - Disse ele sobre o operário E ao dizer isso sorria. Dia seguinte, o operário Ao sair da construção Viu-se súbito cercado Dos homens da delação E sofreu, por destinado Sua primeira agressão. Teve seu rosto cuspido Teve seu braço quebrado Mas quando foi perguntado O operário disse: Não! Em vão sofrera o operário Sua primeira agressão Muitas outras se seguiram Muitas outras seguirão. Porém, por imprescindível Ao edifício em construção Seu trabalho prosseguia E todo o seu sofrimento Misturava-se ao cimento Da construção que crescia. Sentindo que a violência Não dobraria o operário Um dia tentou o patrão Dobrá-lo de modo vário. De sorte que o foi levando Ao alto da construção E num momento de tempo Mostrou-lhe toda a região E apontando-a ao operário Fez-lhe esta declaração: - Dar-te-ei todo esse poder E a sua satisfação Porque a mim me foi entregue E dou-o a quem bem quiser. Dou-te tempo de lazer Dou-te tempo de mulher. Portanto, tudo o que vês Será teu se me adorares E, ainda mais, se abandonares O que te faz dizer não. Disse, e fitou o operário Que olhava e que refletia Mas o que via o operário O patrão nunca veria. O operário via as casas E dentro das estruturas Via coisas, objetos Produtos, manufaturas. Via tudo o que fazia O lucro do seu patrão E em cada coisa que via Misteriosamente havia A marca de sua mão. E o operário disse: Não! - Loucura! - gritou o patrão Não vês o que te dou eu? - Mentira! - disse o operário Não podes dar-me o que é meu. E um grande silêncio fez-se Dentro do seu coração Um silêncio de martírios Um silêncio de prisão. Um silêncio povoado De pedidos de perdão Um silêncio apavorado Com o medo em solidão. Um silêncio de torturas E gritos de maldição Um silêncio de fraturas A se arrastarem no chão. E o operário ouviu a voz De todos os seus irmãos Os seus irmãos que morreram Por outros que viverão. Uma esperança sincera Cresceu no seu coração E dentro da tarde mansa Agigantou-se a razão De um homem pobre e esquecido Razão porém que fizera Em operário construído O operário em construção.  ", Vinícius de Moraes. ,pt
